"","KB100","KB101","KB102","KB103","KB104","KB105","KB107","KB108","KB109","KB110","KB111","KB112","KB113","KB114","KB115","KB116","KB117","KB142","KB143","KB144","KB145","KB146","KB147","KB148","KB149","KB150","KB151","KB152","KB153","KB154","KB155","KB156","KB157","KB158","KB159","KB160","KB161","KB162","KB163","KB164","KB165","KB166","KB167","KB168","KB169","KB170","KB171","KB172","KB173","KB174","KB175","KB176","KB177","KB178","KB179","KB180","KB181","KB182","KB183","KB184","KB185","KB186","KB187","KB188","KB189","KB190","KB191","KB192","KB193","KB194","KB195","KB196","KB197","KB198","KB199","KB200","KB201","KB202","KB203","KB204","KB205","KB206","KB207","KB208","KB209","KB210","KB211","KB212","KB213","KB214","KB215","KB216","KB217","KB218","KB219","KB22","KB220","KB221","KB222","KB23","KB24","KB25","KB26","KB27","KB28","KB29","KB30","KB31","KB32","KB33","KB34","KB35","KB36","KB37","KB38","KB39","KB40","KB41","KB42","KB43","KB44","KB45","KB46","KB47","KB49","KB50","KB51","KB52","KB53","KB54","KB55","KB56","KB57","KB76","KB77","KB78","KB79","KB80","KB81","KB82","KB83","KB84","KB85","KB86","KB87","KB88","KB89","KB90","KB91","KB92","KB93","KB94","KB95","KB96","KB97","KB98","KB99"
"Q12955",140170,NA,NA,112187,NA,111278,NA,29446,NA,36938.2,NA,25216.1,NA,131551,NA,NA,61268.6,77069,NA,NA,NA,NA,152174,51963.8,NA,NA,NA,167300,26832.5,NA,NA,174530,NA,84186.6,NA,NA,NA,15975.1,NA,NA,NA,NA,NA,55774.8,NA,NA,NA,NA,NA,183814,NA,NA,NA,37424.3,39506.2,NA,56280.8,110385,NA,NA,NA,111809,NA,NA,NA,73501.5,NA,13016.4,NA,NA,NA,NA,NA,44618.2,NA,NA,NA,24329.9,30897.1,NA,NA,NA,15383.3,NA,61441.9,NA,NA,NA,NA,108514,57134.4,23471,87623.3,NA,NA,NA,42656.2,16438.1,NA,NA,71446,43686.9,29277.1,171248,47280.3,126312,26835.5,NA,NA,97056.8,NA,NA,40743.1,120539,NA,19834.3,33801.8,70759.6,82749.1,NA,120900,NA,NA,NA,113704,67986.6,56224.1,5732.03,NA,NA,NA,101098,NA,14831.4,NA,435549,NA,21410.8,NA,13244.2,NA,77002.2,NA,171082,146636,53813.1,NA,NA,NA,19895.1,NA,143851,NA,NA,NA,NA,88458.3
"Q12962",NA,NA,NA,NA,NA,3804.12,NA,6738.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,13303.7,6925.14,44919.3,4854.57,NA,NA,NA,NA,NA,346.085,7856.65,1412.04,NA,NA,27044.9,NA,19016,9455.39,4361.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12860.1,NA,NA,NA,NA,2237.51,NA,13222.2,6326.31,7402.71,12125.6,NA,NA,NA,5706.13,8521.31,NA,NA,NA,NA,NA,NA,NA,NA,8826.7,2234.23,3095.72,15034.9,NA,7167.34,4735.82,NA,NA,22283.2,NA,NA,NA,NA,NA,13938.6,NA,NA,NA,19429.9,NA,24127.9,NA,27730.4,NA,8846.27,NA,7969.23,18726.5,5206.73,NA,NA,6408.33,7902.49,NA,11991.9,NA,NA,NA,28517.9,25284.3,18538.2,36384.4,NA,39992.5,NA,4992.08,NA,2059.51,8284.78,NA,NA,NA,NA,39882.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10491.4,NA,NA,NA,NA,NA,19350.6,25772.4,NA,6889.97,5168.02,NA
"Q12996",673456,NA,NA,466651,NA,647811,78205.9,340197,NA,719112,NA,371740,NA,1147740,315794,930091,404796,372786,164402,677345,NA,1245440,225742,958665,NA,71422.1,NA,916158,NA,413313,139203,307174,NA,554691,NA,NA,NA,NA,190149,439383,NA,182947,NA,NA,NA,109024,188796,NA,434373,888146,NA,NA,408322,294733,583418,NA,376140,847658,NA,674724,313088,450075,127282,438987,NA,513691,NA,NA,759864,353486,366093,896318,NA,246202,520249,NA,642163,NA,850557,NA,646673,NA,853354,NA,123917,NA,248248,253289,753516,374940,844723,NA,575977,710253,676628,702980,682768,NA,NA,137784,791952,511650,1004590,505314,613735,1444610,1042700,680905,437663,1013570,172425,1229930,1023270,974286,1240110,554984,684443,972579,359495,NA,512219,NA,233051,NA,457464,660686,NA,794661,NA,NA,361437,984630,NA,NA,387136,716672,NA,645975,NA,462042,NA,900022,246286,633734,324778,496957,201555,614327,NA,254185,NA,471954,512993,267445,448005,267490,837526
"Q13011",958700,13867100,13327600,1007360,13496500,1798860,18199600,1520230,11201200,946152,13635700,2626260,12423900,1919490,8869230,553333,9050910,1873650,10190400,262531,3280040,1889020,1142950,1377880,10672800,5150560,10360000,1591020,7221260,1098100,13210100,6698620,7708170,1492060,7582160,10182000,10436800,2517010,1795240,1538510,10257600,1962770,9671640,1742300,14718600,1408210,9025230,12085800,19452500,1286040,22376200,14331900,1106870,16565000,1794940,18323400,2217080,2356260,15089600,2292520,12584500,2149110,13915700,1743710,13159100,1656840,18909500,940348,1875200,16519500,3803620,515340,19921100,14257400,1047310,9011840,8025190,19115200,2307720,11368900,2947230,13656700,1832900,12408600,4922960,9765140,7539700,12702500,1419560,7468750,1431420,8225820,2457310,2192450,2157270,662098,1340800,15110200,20343600,684349,2840740,729714,588738,2917690,1206900,1552000,944779,1039920,904089,1007110,970687,898378,732804,1538030,1273950,4668290,1116620,1594370,1870090,11342300,7137460,11893700,7555730,14598200,1174830,2540310,8958070,1837680,299322,11362900,15407400,2220570,9957370,11640500,1274170,1688940,16065900,2783140,15888700,2084660,15810600,939745,10542500,387115,2337490,1695530,10954400,386702,5903340,2592960,7060340,2257200,2037140,10353700,3604290,10413300,994195
"Q13045",40726.5,63121,69450.1,377836,73002.6,179623,53137.6,216687,92236.1,60182.9,59672.2,61684.3,79622.1,80209.1,81000.7,246922,79982.9,120614,66078.7,103398,85897.4,75319,110961,48624,57105.2,145991,59542.6,174051,88685.6,103612,17866.8,183478,72426.4,75250.9,67684.3,88968.7,98438.4,40358.5,113689,55481.8,36056.8,78555.1,21299,165664,63320.4,48459.4,34770.7,78554.5,85150.4,87322.6,84743.3,47402,117904,126226,61937.9,47684.4,95061.3,85849,72242.3,144842,51176.7,117444,77540.1,84704.6,45455.3,75071,78332.9,292574,105734,31799.6,56488.2,95230.6,54426.3,92584.8,312395,73098.7,43319.2,104087,111893,63731.1,89853.2,25026.1,147181,50060.3,83572.8,48511.2,84801.2,70398.4,180110,64968.6,221815,121733,236131,210408,205322,63209.8,188770,77831.2,51485.6,170274,184503,259049,180373,128553,139970,94116.6,113696,178285,96625.9,70558,31948.8,107302,128236,149998,235050,183891,97601.9,119995,90141,89867.6,68229.3,72296,98689.6,48759.3,129869,71529.1,73315.3,234746,NA,70169.9,117888,130235,92825.3,68527.4,142123,34280.3,38891.6,70935.1,140154,106833,63918.6,251623,121929,139123,51650.7,130245,99333.2,136754,13455.4,123959,62070.8,190179,143145,64083.8,116743,85897.3,56665.2
"Q13049",86021.2,15952.7,NA,449057,NA,40545.1,NA,216319,NA,152851,NA,85090.9,NA,30055.6,19068.7,112426,5367.76,115356,NA,17573.9,NA,275595,55555.2,36414.5,NA,46745.2,NA,25137.8,NA,241685,NA,26449,NA,22846.7,NA,NA,30301.2,62296.3,141625,412880,NA,659826,39714.8,248710,NA,73609.1,NA,NA,17321.5,168644,NA,NA,83142.1,NA,674863,9338.04,15255.5,41149.5,NA,66421,NA,261086,NA,76085.2,3222.88,121234,NA,67952.2,389342,NA,263674,263997,NA,NA,163732,48212.6,72825.2,NA,47971,NA,272081,16685.3,37244.6,NA,67519.5,NA,71373.7,54814,308510,32285.8,425514,11726.3,148997,299829,96625.3,NA,453968,NA,NA,NA,16397.9,11123.4,15660.7,NA,NA,NA,NA,NA,NA,NA,NA,5694.94,NA,NA,10959.1,NA,NA,NA,NA,NA,NA,NA,41130.8,16290.6,45618.9,NA,NA,40202.4,NA,NA,NA,NA,NA,NA,520790,136032,NA,81478.7,NA,132123,5764.71,78607.3,NA,10425.8,NA,23751.9,NA,330294,46917.8,119085,NA,40286.9,119333,NA,134980,NA,143706
"Q13057",NA,451910,187156,37134.6,548188,162424,323508,189722,271765,29704.4,474358,43232.3,265501,135658,179920,30908.8,NA,113933,341226,141724,262773,90602.3,34320.9,NA,NA,270357,363243,52977.9,413353,NA,NA,184745,207763,137915,459168,270618,315519,NA,79145.8,45404.9,311833,93573.8,NA,186496,NA,152533,180428,NA,NA,69461.3,607384,NA,154950,243379,89175.6,363394,126400,147631,490561,224236,157576,20939.5,627386,74569.9,286716,72880.3,102919,99046.8,NA,279840,128035,7214.75,NA,328745,114863,251322,372988,585451,130512,510618,163570,NA,146093,351192,242876,106442,257249,NA,23053.7,291697,159034,358879,291456,NA,128473,NA,NA,NA,202437,NA,57680.1,NA,23933.4,19122.3,NA,41115.7,39911.2,NA,25495.4,NA,9384.72,NA,52583.1,18466.7,NA,39454.7,43205.3,82033.5,51510.8,160916,NA,99672.5,323513,423962,NA,NA,290916,115161,NA,485108,NA,81741.1,261641,248192,58115.9,NA,798847,10591.3,127635,NA,NA,NA,517879,88370.4,147084,108924,211168,21236.6,NA,108486,111141,69266,151233,145000,81549,267587,122791
"Q13094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89162.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32469.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61799.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44487.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102120,NA,NA,NA,NA,NA,62122.3,NA,NA,NA,NA,78388.5,83520.4,343029,NA,NA,NA,NA,90304.5,NA,NA,68462.1,51263,NA,NA,43037.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90972.5,NA,NA,NA,NA,36408.7,NA,NA,NA,NA,NA,NA,NA,58501.3,NA,NA,NA,48292.2,NA,NA,NA,NA,NA,NA,NA
"Q13098",550017,114371,147325,298182,67114.7,367821,206258,264563,132737,246043,86851.2,415581,183108,274848,155219,289906,109441,384063,290988,878685,288217,181209,304024,170370,90839.9,158240,254460,570250,242320,117076,58592.8,474205,265837,462363,293208,360127,255008,333845,348640,479735,217750,188845,NA,239405,122983,147674,94565.7,149493,108006,304043,126067,73543.5,337218,86484.3,461345,85858,392104,633384,290244,401168,315394,239550,102110,575483,322730,341112,87587.8,582362,77760.5,175071,193838,160585,274186,286132,569626,174493,98318.5,69058.2,623159,288906,472270,189763,238072,249862,409592,242065,299614,189453,332006,133264,283848,72938.7,427349,148295,455877,166083,133916,213810,263446,248621,383970,66864,282790,125316,299219,181224,176666,65581.2,289138,297915,262124,219883,501357,254521,89807.9,385081,171055,279866,362957,219896,140590,109506,426349,161154,157139,328427,336509,589869,299704,262990,125722,534513,238167,190150,82453.7,198950,266856,332579,177372,365359,99858.9,194756,63004.3,405194,324054,538096,244205,201353,201716,476942,318402,405334,408070,280927,262894,243552,197636
"Q13099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111893,NA,96778.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152738,NA,NA,NA,NA,NA,NA,NA,NA,NA,103665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105023,NA,NA,NA,NA,101277,NA,44915.2,NA,NA,NA,NA,NA,69262.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91043.6,NA,131228,NA,NA,47057.3,NA,NA,132798,NA,129508,NA,NA,185969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98311.9,NA,NA,29630.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q13126",342369,233331,309158,40362.5,248406,109444,296762,181787,204917,669753,182124,144327,305186,375115,237690,264865,182255,214601,298395,213870,309519,215969,69125,559666,242600,268423,280745,175661,425388,132290,NA,389775,221366,109243,260070,155377,298385,129844,61214.9,273216,371924,224265,266686,225807,169824,184355,63152,176035,241804,330154,224030,323007,282686,290206,228907,315084,251237,212284,232323,169801,276368,NA,204965,132479,273464,214444,130360,22081.5,160032,252654,260652,NA,248312,251813,25906.6,202148,170767,154944,314629,285706,304843,157350,246084,218108,234958,148605,157221,166844,168334,243843,47773.3,627163,172841,40203.4,12278,66380.6,516818,209607,268572,NA,304251,199010,223267,121625,135138,245467,40491.4,153062,165150,277667,116181,250694,482640,183424,NA,285372,222279,111629,121483,157695,232871,184394,250970,389383,184369,177721,135567,15938.2,NA,278002,337416,392511,297118,299997,262952,154038,173837,50645.1,488397,318764,418904,48669.6,286496,50655,241558,383768,250961,104145,262998,158486,318743,155279,123940,262557,158696,189737,292094
"Q13131",17025,111585,314640,NA,79633.5,37899.7,90942.8,29434.8,290798,NA,30856.1,25868.9,254808,29806,308179,20462.2,125912,7515.39,189831,54016.7,152007,NA,NA,17490.1,149583,114617,273023,49928.2,231570,NA,70357.4,39242.2,242921,30948.7,374559,186443,158976,22972,28064.4,15978.1,107065,8534.74,10710.9,20596.8,354288,126150,70568.8,152383,94733.4,16833.9,41920.2,49524.8,14174.8,126207,NA,83364.4,76371.7,23850.2,228805,14207.7,234662,NA,58503.9,32884.5,149033,17261.9,124895,42831.9,NA,53570.2,2528.43,NA,53502.1,165405,45898.4,205005,NA,94720.7,18375.4,197764,18576.6,6682,24351.7,153546,128769,212566,92787.3,46564,81133,91811.7,NA,30785.8,63650,89971.5,38858.7,NA,NA,236257,257486,3532.41,99525.4,NA,47133,6528.37,43203.7,31168.3,32759.8,7869.68,75730.7,6077.54,NA,8746.07,33794,15150.6,39202.4,35913.2,32453.5,117032,31575.5,346474,347672,197368,141597,99960.9,NA,39359.5,138128,47133,NA,285063,133678,46251.9,179735,169735,NA,NA,122631,29356.1,156014,NA,53410.9,NA,84210.7,7236.69,98361.7,67049.4,194303,NA,39002.5,44580.6,278525,53560.9,51545.3,385395,57051.5,211270,10856
"Q13136",32316.3,NA,NA,NA,NA,NA,NA,20748.9,NA,NA,NA,NA,NA,NA,NA,53844.6,NA,20800.3,20317,46053.9,NA,14974.7,13850.9,151190,NA,NA,NA,NA,NA,NA,NA,NA,NA,156427,NA,NA,NA,NA,NA,53940.6,NA,NA,NA,187563,NA,NA,NA,NA,NA,NA,NA,NA,NA,25619.3,NA,NA,61942.9,NA,45325.7,NA,NA,20130.5,2678.81,14297.9,NA,23789.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8469.2,NA,37628.6,NA,18600.3,NA,NA,NA,NA,NA,42305.9,NA,NA,NA,NA,NA,NA,NA,NA,25731.4,NA,NA,NA,43095.1,NA,NA,NA,NA,NA,NA,NA,NA,32383.3,NA,NA,NA,NA,3544.34,32748.8,NA,NA,NA,NA,NA,NA,NA,4671.43,65815.1,NA,NA,NA,NA,NA,NA,NA,NA,40144.3,20695.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18139.8,NA,24687.6,NA,NA
"Q13148",287164,38636.9,109398,182807,73440.6,228405,46354.2,225347,111492,512045,186609,511064,89440.9,261641,149901,226840,99464,265147,130383,610407,104788,158475,176232,375054,47419.6,91048,82677.9,375760,119953,124414,73149.1,248818,113865,306012,122838,103945,118892,250259,228639,341023,94104.7,43831.7,NA,329183,62609.5,137230,50895.7,66113.9,62433.7,150311,47753.8,36097.6,264253,102995,127710,46017.6,319799,365721,112363,261047,134233,151656,119292,316669,60552.3,311424,78361.6,174875,81582.7,35165.6,107612,84774.9,23680.7,121724,272587,139702,189497,52897.5,227806,96529.9,64447.3,NA,408468,86961.3,228620,55191.4,139809,34167.1,217623,140718,45258.4,31446.3,352846,234692,282549,236645,191185,128194,90662.6,111574,288812,317411,316106,317728,418173,284834,252945,255077,186291,412759,48725.3,250810,448169,373039,348470,307546,479728,298218,381987,114054,115580,122318,134993,96658.6,98847.3,518625,197693,434223,174860,114822,54719.5,696957,198167,99071.8,174065,58276.3,NA,53716,54317.1,173694,74603.1,146834,68350.9,273461,134360,313449,140855,90181,154769,401347,103914,391635,217996,77441.9,284768,104630,62432.9
"Q13151",1173490,352291,456932,1217010,726907,1377840,487070,660029,227504,642732,311795,1864220,515344,1525920,428537,1269650,378196,1308270,650398,4646610,606113,716641,578003,1528250,376508,442736,276133,1510090,476188,513171,467698,676862,465354,988674,484650,311435,510130,762873,1119220,324444,387786,600207,304610,1195120,551343,1958130,378209,544421,299543,1050040,194259,317256,1203370,543831,778326,479046,1185810,1137150,322561,794431,506903,402391,205104,1082080,436079,1433610,542757,349540,422265,458540,447633,471750,326223,346927,616463,330483,1288350,253839,774099,344196,623523,206961,1761490,355846,685826,526524,455473,1022260,989952,470462,556061,235326,1675330,502777,1300720,1154240,1403750,543073,323536,378777,1186970,889968,924039,1343000,1361950,1456600,2035030,649994,1192510,2055970,1068890,1621530,1705220,1806530,1229330,817148,921453,702861,1315930,342883,593128,524234,406871,592569,1110300,1938380,736529,2256470,986100,533841,360427,1794630,492851,422086,841495,931010,659362,1236870,837478,1141860,751950,1291600,488393,1701040,640261,1326160,582606,610901,858521,1598840,412599,2122830,924745,376532,877082,560757,409292
"Q13153",398321,NA,34239.5,392196,36649.8,99832.7,43909,88478,6860.52,91096.4,NA,32110.7,48468,135828,15298.3,482920,62665.8,200457,30888.7,215727,17254,389958,45546.5,220025,53240.8,NA,14632.7,318889,NA,245586,NA,65644.9,5449.72,60726.7,18739.3,NA,48043.7,107349,139333,205075,NA,101655,NA,219796,NA,177044,49984.2,NA,35266.1,187003,56137.6,26765.3,141015,32691.7,183726,NA,1320910,200877,7446.74,304470,34503,188334,19651.4,188597,21090.7,678410,NA,132391,75211.2,NA,112309,NA,NA,50429.4,75495.2,NA,112113,65267.1,211807,22653.3,NA,26216.1,140466,20125.9,50793.1,28592.4,19140.9,NA,117368,19632.5,412553,NA,159639,831080,88736.6,37206.4,157264,15370.4,29030.9,NA,119192,172866,131246,168926,153372,182252,101678,88238.9,44376.4,94688.6,109721,437933,126737,112536,105620,371250,324360,211796,38815.9,19587.4,68067.2,19103.1,27116.4,125772,256610,44806.2,15617.8,148007,29796.7,NA,51510.4,139669,40688.9,12445.5,106392,75619.3,27836,212827,NA,370700,86266.2,183088,44822,256943,29948.6,209200,32895.3,177078,NA,84837.6,NA,72429.8,41095.9,27703.9,85324.5,14238.8,130136
"Q13155",196767,86426.4,32707.8,384712,40090.6,83541.8,105503,27497.1,NA,152138,34242.1,140878,6720.06,117514,106719,45057.1,NA,51378.9,21832.2,40677.4,NA,211711,NA,160351,40065.6,14066.3,34172.3,43427.8,NA,657890,71132.6,75370,18583.1,48765.8,25057.3,67695.9,NA,36948.2,NA,341859,68498.3,106656,22542.4,56121.4,90786.3,229918,123140,48614.1,135122,247312,18443.9,141650,252739,164345,176326,162295,32753,61719.7,55552.9,NA,17373.7,186436,98348.8,97897.9,65903.6,107584,NA,48999.1,216595,116954,42991,110935,61289.2,68772.8,46792.1,NA,104285,120995,151425,59913.7,137378,59727.9,105503,53219.4,27420.3,95961.7,21986.2,99547.1,14202.1,94356.4,338978,NA,39233.2,125414,34632.1,49392.9,143490,24652.5,18949.1,NA,49082,174703,80083.9,129902,58661.7,4542.18,51056.9,56322.3,87972.1,NA,396666,262403,55393.7,147054,107875,120647,56909.7,13383.1,21983,35015.7,NA,32242.6,NA,94681.7,93505.5,13620.7,18614.8,65115.2,NA,NA,118431,45887.4,48021.7,15589.6,NA,93054.6,52653.9,70000.7,30632.6,252357,168794,201731,75403.6,169479,25854.1,36057.8,NA,205655,124551,117741,NA,32491,128875,59713.1,58148.5,7570.36,166696
"Q13162",371504,1346070,1692630,1051920,1471880,749344,1566810,794307,1607200,353790,1922300,248386,1872680,466672,2044830,331334,1542760,525311,1198360,860585,1378510,195075,390771,671642,1089880,1207500,1684990,263429,1586350,348255,1234580,289213,1816980,385961,1221670,1985750,1467340,435537,321685,366591,1035080,92828.9,843792,269325,1733290,74473.3,620619,2104310,1953760,575726,1856770,1038250,296079,1555350,173966,1251270,566631,473039,1066980,287152,2011560,365021,1335910,567879,1937930,769379,1335700,837817,107106,1219700,391638,191586,1255530,955823,382117,1780990,166655,1567620,763028,1562580,128690,1073400,307741,1775640,1147900,1163210,1393260,1264900,1242930,986694,213034,1110250,281449,578870,242672,245156,304485,1710330,2048370,145904,3217130,546864,915747,582203,538054,503319,537260,468314,1951730,338614,20117,307084,391504,477556,440650,269608,284637,622565,1421690,1761480,1248000,2063750,1278190,1601930,510980,350381,1046490,224095,203837,1386950,1899000,487188,1899340,1576550,313412,272484,1192820,486790,1360300,291674,1943330,572037,1880680,328270,1018790,1019110,1567350,460484,781523,263049,1368280,349035,347060,1434290,419320,1771260,143531
"Q13177",NA,NA,76030,142556,104944,105139,151938,155797,NA,NA,NA,45299.6,75452.8,173244,78076.4,165209,124678,61232.8,26244.8,155815,51346.4,11821.9,78909.4,5492.85,NA,NA,55960,55649.3,NA,181518,49229.1,134373,19034.9,106445,NA,39134.1,NA,67574.6,103528,99307,NA,NA,NA,319104,115804,NA,61971.5,121956,100779,308346,NA,214379,42289.5,140560,NA,79959.2,81084.8,105860,108709,275131,NA,94326.3,93051.3,63813.3,47568,304766,110762,70691.4,NA,69418.5,NA,NA,62963.4,73721.3,60337.5,NA,NA,NA,71839.1,49795.5,32125.5,NA,69031.5,58972.6,45161.6,59909.5,NA,NA,144904,93342.7,NA,69309.3,80952.3,393041,83462.1,NA,74756.9,14683.5,45261.7,74197.9,49829.4,120414,66930.7,91363.6,47791.4,98510,20568.5,202514,85728.8,NA,16751.1,122531,67961.2,51106.8,138541,111354,NA,118710,68390.5,42922.7,NA,19880.4,60953.2,128431,115677,NA,NA,70195.4,NA,79648.9,72925.9,27604.7,NA,89321.9,191809,NA,NA,150794,38365.9,NA,NA,93466.1,NA,85481.4,60745,32271.1,49810.9,NA,NA,77260.2,43507,139405,89386.3,42104.7,72826.9,63618.1,75815.6
"Q13185",377617,15350.3,26133.6,178056,18003.5,109983,7021.63,82964.9,19763,NA,NA,123854,14552.5,57223.2,9657.68,103114,40889.8,64901.3,17013.8,251548,29786.8,242956,65458.7,265862,23397.4,45326.7,NA,102080,4517.42,96347.4,NA,291530,NA,146975,NA,NA,4406.04,20065.8,68519.2,66873.2,NA,NA,NA,68039.5,8098.36,NA,NA,4820.08,27796.1,144867,NA,NA,99930.2,NA,89230.3,NA,46939.9,58674.1,NA,118080,NA,82708.5,NA,52350.3,19515.6,93967.4,7852.19,NA,18310,NA,NA,88382.4,22711.9,22162.5,21585.6,NA,NA,NA,112915,24181.9,11544.1,NA,213742,NA,54689.8,NA,15005.2,13355.8,99275.3,NA,30935.5,NA,145709,157851,139730,NA,21262.7,39450,NA,33346,50604.4,505771,140874,262954,185380,197034,108940,187756,114640,685637,48601.7,220047,170970,145989,153427,85372.9,245103,92967,12753.9,36756.7,69827.2,23559,18167.2,81448.5,245762,133721,16322.4,127642,NA,44518.8,NA,279045,NA,24209.2,138757,107174,NA,278405,60264.8,74838.3,25402.9,246522,39364.3,204628,34567.8,55993.4,11007.2,269302,57789.2,54234.8,46663.9,109212,94665.2,NA,87781.1,10566.4,70310.3
"Q13200",247043,264028,359049,323818,304424,364583,266087,508848,418897,271369,184368,344843,307958,340566,351015,212755,248547,529041,427100,637360,337712,355293,234367,404523,279251,362123,453650,451873,406276,452102,346412,476262,446020,395974,549613,426863,328813,383688,396565,629564,383562,361800,331888,335119,324132,474568,270703,299613,294322,332179,294811,291106,305147,399857,423047,272712,389273,516889,565508,417307,320448,222680,255648,333299,447230,449878,250792,448742,253073,269063,312454,146657,241164,473901,457524,405913,388607,260979,457068,420766,327558,183352,421885,372311,494890,521122,371000,281977,401876,392845,316103,157492,430286,420702,449502,234371,280587,271289,503273,729496,446488,341028,456513,457027,307305,333631,425635,187248,285813,273997,192380,219157,349301,330589,396732,795502,226048,639772,329482,430973,334136,234615,401194,221444,198568,359889,259068,344536,272825,304587,303543,304671,356020,300705,307186,155628,161033,370681,282404,220374,101457,247158,164400,440923,220397,371069,414645,226188,344124,410281,426830,455405,355296,455042,378742,412914,185740
"Q13217",122176,47259.7,NA,489588,119820,43304.2,352894,140398,79466.9,21326,53220.6,22699,NA,65449,169849,282404,53981.3,363714,23524.8,42448.2,59106.6,NA,106371,113561,NA,24957.6,83140.1,151780,17458.6,613154,441188,155934,NA,100459,49713,112804,43769.1,NA,65301.9,168578,96982,54449.9,NA,120557,57006.3,220707,NA,271144,175032,81475.5,156371,NA,36423,NA,NA,225962,40295.4,11088.3,85767.9,88282.2,22621.3,71148.7,145009,68300.8,36944.3,224778,NA,261003,51636.2,354575,NA,NA,242108,45852.3,78228.9,NA,216618,NA,129951,28331.6,NA,164663,NA,NA,64805.9,47210.5,NA,NA,75552.2,51958.3,156550,NA,134976,78277.6,162671,NA,88103.3,120784,47063.2,NA,149586,405326,59104,37560.9,46072.5,41521.9,134182,83163.5,133491,NA,NA,112080,71509,88785,261325,57590.2,11418.2,139545,94424.4,126265,333487,70513.5,45518.2,NA,84610.3,NA,15901.8,6292.69,NA,36199.4,NA,106380,107225,31111.5,231094,236394,23795,85921.6,152350,113120,96517.8,NA,126527,70578.2,102275,191151,79697.5,NA,NA,24423.4,82762.9,34186.3,42993.1,90948.2,41022,5822.47,95039.8
"Q13228",231675,5374170,6722960,222272,5058800,75012.7,5989450,890387,9449190,484740,5062190,140088,5138140,639635,4279170,237711,6252280,178828,4579730,1681970,6230290,78547.3,730196,287820,5871970,2048750,7982600,750281,3308820,134597,2642360,182349,4396270,740696,9081520,5357130,5410380,101454,201943,49853.8,6003360,116219,3327300,38894.6,8503940,487670,1413450,4612560,3911150,129108,8344310,5940130,758459,5016450,133436,5013380,405399,727047,7855420,379170,5651860,168102,4514870,679513,5743770,380004,5032580,357928,NA,4854360,621741,97597,8275500,2817590,309102,3726270,360129,6201740,118059,8014510,129466,2479780,105782,5874170,2307120,8068750,3056150,2180160,58309.2,2833040,59592.9,2444500,1296130,411971,260172,376967,NA,5818710,5022650,201834,2014990,10908.7,368614,186338,411615,755758,293942,267342,550652,322102,131813,41141.7,99875.1,1018900,54036.4,1104460,1124940,467289,2161900,8156120,3112270,6151530,2582900,5907740,355292,273386,3834870,78360,353200,4356480,9849580,534825,4388620,5727220,329140,225830,7441660,509431,3207070,73092.2,5198850,376903,4219250,150296,3177280,727265,4578510,136463,2289900,141039,5253710,173154,95682.5,4746410,423342,5000420,248708
